Nome do Repositório,Estrelas,Releases
core,46283,223
minio,46159,494
professional-programming,46119,0
big-list-of-naughty-strings,46099,0
marktext,46064,36
trackerslist,46059,0
meilisearch,45995,205
rclone,45703,103
okhttp,45629,0
zustand,45587,85
learn-regex,45467,0
uBlock,45448,269
awesome-rust,45354,0
julia,45301,161
awesome-wechat-weapp,45253,0
v2ray-core,45178,247
powerlevel10k,45135,33
dive,45056,26
astro,45038,1000
Projects,44829,0
react,44801,0
joplin,44765,346
gogs,44705,78
Motrix,44667,21
FFmpeg,44469,0
nocodb,44418,147
PowerShell,44402,172
100-Days-Of-ML-Code,44342,0
design-patterns-for-humans,44337,0
fuels-rs,44313,100
fuels-ts,44307,126
zed,44274,567
weekly,44251,0
architecture-samples,44230,0
meteor,44228,0
first-contributions,44149,0
x64dbg,44141,2
hiring-without-whiteboards,44045,0
jest,43990,202
hackingtool,43976,0
starship,43854,130
AdminLTE,43834,73
n8n,43831,207
gitea,43763,194
parcel,43343,35
TensorFlow-Examples,43340,0
pixijs,43330,264
appwrite,43178,96
build-web-application-with-golang,43165,0
babel,43130,406
hyper,43115,88
MetaGPT,43091,21
pandas,43032,108
retrofit,42917,2
quill,42807,94
zx,42700,66
huginn,42602,1
immich,42579,200
PythonDataScienceHandbook,42544,0
dify,42414,86
ImHex,42409,71
CppCoreGuidelines,42312,4
30-Days-Of-JavaScript,42296,0
type-challenges,42061,0
terraform,41982,320
frontend-dev-bookmarks,41969,1
json,41941,44
PaddleOCR,41916,14
open-source-ios-apps,41798,37
awesome-react-components,41718,0
git-flight-rules,41699,0
discourse,41522,0
grpc,41448,322
yarn,41397,152
query,41370,917
react-use,41351,255
pm2,41223,124
alist,41219,113
front-end-interview-handbook,41173,0
awesome-java,41098,0
Alamofire,40903,99
vue2-elm,40902,0
react-hook-form,40845,552
open-source-mac-os-apps,40814,0
Leaflet,40808,31
localsend,40742,21
jadx,40582,29
brew,40551,382
edex-ui,40449,29
30-Days-Of-Python,40377,0
styled-components,40344,169
drawio,40310,837
dubbo,40307,102
ChatGLM-6B,40271,0
nw.js,40266,0
kubernetes-the-hard-way,40228,0
Docker-OSX,40125,0
python-patterns,40072,0
uni-app,39815,0
Rocket.Chat,39805,940
JeecgBoot,39777,45
what-happens-when,39726,0
vuetify,39560,564
monaco-editor,39555,85
Fooocus,39485,21
swiper,39402,71
spark,39162,0
awesome-cheatsheets,39103,0
text-generation-webui,39075,50
hexo,39061,114
fastlane,38967,543
ailearning,38951,2
dbeaver,38928,206
lx-music-desktop,38928,107
materialize,38866,41
kong,38652,141
reactjs-interview-questions,38642,0
awesome-design-patterns,38583,0
prisma,38576,194
CPlusPlusThings,38550,0
ColossalAI,38502,42
Stirling-PDF,38474,83
sentry,38337,135
pyenv,38330,103
black,38229,44
acme.sh,38202,41
pocketbase,38119,143
stablediffusion,38104,0
cheat.sh,38002,0
AFFiNE,37987,349
fanqiang,37907,3
Deep-Learning-Papers-Reading-Roadmap,37858,0
esbuild,37837,288
metabase,37790,542
php-src,37770,0
video.js,37713,319
bert,37687,0
tabler,37632,42
impress.js,37602,15
MPAndroidChart,37494,44
iina,37490,44
wrk,37411,0
chakra-ui,37328,1000
cobra,37317,22
lobe-chat,37212,804
styleguide,37133,0
Made-With-ML,36960,0
odoo,36930,0
freecodecamp.cn,36928,0
Open-Assistant,36917,127
phaser,36845,150
chinese-independent-developer,36835,0
zju-icicles,36814,0
tidb,36780,195
htmx,36680,22
free,36668,0
diagrams,36585,40
nvm-windows,36580,20
English-level-up-tips,36509,0
interview_internal_reference,36484,0
preact,36476,209
cli,36432,140
tutorials,36423,0
gorm,36375,2
pure-bash-bible,36368,0
ClickHouse,36297,571
ant-design-pro,36245,26
open-webui,36237,44
manifesto,36233,0
50projects50days,36213,0
FastChat,36205,14
vaultwarden,36045,59
python-cheatsheet,36028,0
llm-course,36006,0
leveldb,35976,21
shellcheck,35918,29
airflow,35917,88
vim,35907,0
lazydocker,35869,40
JavaFamily,35856,0
nanoGPT,35773,0
mitmproxy,35638,66
DragGAN,35635,0
v,35627,220
og-aws,35623,0
lerna,35597,238
istio,35592,356
wtfpython,35581,2
deeplearningbook-chinese,35537,7
GFPGAN,35342,8
arthas,35257,53
taro,35256,180
curl,35182,81
fullPage.js,35114,95
hello-algorithm,35087,0
koa,35066,0
aspnetcore,35058,232
bark,34954,0
tldraw,34934,36
shadowsocks-android,34920,184
lottie-android,34904,50
wtfjs,34875,25
sheetjs,34871,0
devdocs,34822,0
nativefier,34799,99
hackathon-starter,34789,15
MockingBird,34776,1
bevy,34754,28
aria2,34702,24
quivr,34648,310
llama_index,34573,312
glide,34548,47
955.WLB,34543,0
TaskMatrix,34534,0
node-v0.x-archive,34454,0
the-way-to-go_ZH_CN,34450,0
tesseract.js,34445,53
awesome-react-native,34423,0
