Nome do Repositório,Estrelas,Tempo Desde a Ultima Atualizacao
material-design-icons,50336,3.01
faceswap,50199,1.00
tldr,50162,0.09
ghidra,50148,1.06
awesome-android-ui,50093,3.88
leetcode-master,50019,0.72
guava,49921,3.12
you-get,49838,1.04
lazygit,49794,0.22
traefik,49793,2.08
anime,49468,6.65
grok-1,49375,1.44
yolov5,49320,0.95
drawio-desktop,49275,4.70
bulma,49083,8.21
openpilot,49062,1.76
prettier,48961,0.81
jekyll,48840,5.31
rich,48699,0.24
kotlin,48677,0.67
bat,48438,0.81
pi-hole,48267,0.46
ComfyUI,48170,0.09
mkcert,48129,2.96
DefinitelyTyped,48084,2.41
project-layout,48043,0.80
moment,47935,5.92
RxJava,47820,9.54
chinese-poetry,47718,4.02
pdf.js,47710,0.75
hacker-scripts,47447,1.50
Prompt-Engineering-Guide,47232,0.05
github-cheat-sheet,47218,4.85
ripgrep,47185,0.39
etcd,47151,1.35
go-ethereum,47064,0.14
awesome-ios,46787,3.09
Ghost,46662,2.98
Magisk,46650,1.29
mastodon,46603,1.34
cypress,46590,0.20
dayjs,46530,5.75
algorithm-visualizer,46528,29.80
core,46349,0.04
segment-anything,46342,0.57
serverless,46342,1.54
minio,46283,0.38
marktext,46148,3.64
professional-programming,46147,0.29
trackerslist,46126,1.38
big-list-of-naughty-strings,46102,6.58
meilisearch,46056,0.10
rclone,45777,0.35
zustand,45727,0.79
okhttp,45647,1.31
uBlock,45542,0.63
learn-regex,45477,4.11
awesome-rust,45458,1.54
julia,45338,2.45
awesome-wechat-weapp,45288,3.27
zed,45241,0.56
powerlevel10k,45202,0.24
v2ray-core,45194,4.10
astro,45128,0.16
dive,45119,5.62
Projects,44859,3.56
react,44828,1.66
joplin,44828,0.54
gogs,44715,1.14
Motrix,44710,2.22
FFmpeg,44549,0.26
nocodb,44495,2.53
PowerShell,44460,0.50
hackingtool,44414,0.11
design-patterns-for-humans,44386,2.20
100-Days-Of-ML-Code,44369,2.74
weekly,44326,2.32
fuels-rs,44303,4.52
fuels-ts,44300,4.52
meteor,44251,2.37
architecture-samples,44241,4.82
n8n,44228,0.30
first-contributions,44210,2.16
x64dbg,44182,3.28
hiring-without-whiteboards,44154,0.14
jest,44001,4.56
starship,43908,0.74
AdminLTE,43847,2.03
gitea,43825,1.11
pixijs,43376,2.10
parcel,43354,8.01
TensorFlow-Examples,43338,2.57
MetaGPT,43254,2.10
appwrite,43227,1.32
build-web-application-with-golang,43172,2.94
hyper,43145,0.77
babel,43132,1.90
pandas,43069,0.41
retrofit,42921,3.40
quill,42871,5.21
immich,42844,0.02
dify,42830,0.37
zx,42738,0.19
huginn,42638,1.89
PythonDataScienceHandbook,42580,0.05
ImHex,42469,1.07
30-Days-Of-JavaScript,42366,0.27
CppCoreGuidelines,42333,1.32
type-challenges,42158,0.81
PaddleOCR,42050,0.30
terraform,42011,1.07
frontend-dev-bookmarks,42010,3.54
json,41992,2.23
open-source-ios-apps,41844,3.25
awesome-react-components,41768,0.77
git-flight-rules,41702,2.82
discourse,41562,0.80
grpc,41459,5.48
query,41442,0.06
yarn,41399,28.41
react-use,41383,4.71
alist,41338,1.74
pm2,41243,2.12
front-end-interview-handbook,41225,0.17
awesome-java,41137,2.71
Alamofire,40923,5.86
localsend,40916,0.80
vue2-elm,40902,2.46
react-hook-form,40887,1.22
open-source-mac-os-apps,40868,3.66
Leaflet,40827,4.42
jadx,40658,1.10
brew,40601,1.58
30-Days-Of-Python,40505,0.73
edex-ui,40463,5.00
drawio,40370,3.02
styled-components,40353,5.99
Docker-OSX,40325,0.15
dubbo,40319,11.66
kubernetes-the-hard-way,40300,0.70
ChatGLM-6B,40296,7.65
