Nome do Repositório,Estrelas,Linguagem Principal
awesome-chatgpt-prompts-zh,51937,Não especificada
Real-Time-Voice-Cloning,51933,Python
requests,51908,Python
gpt-engineer,51708,Python
open-interpreter,51708,Python
git,51584,C
AppFlowy,51425,Dart
Semantic-UI,51098,JavaScript
ionic-framework,50837,TypeScript
material-design-icons,50336,Não especificada
faceswap,50199,Python
tldr,50163,Markdown
ghidra,50148,Java
awesome-android-ui,50093,Não especificada
leetcode-master,50019,Shell
guava,49921,Java
you-get,49838,Python
lazygit,49794,Go
traefik,49793,Go
anime,49468,JavaScript
grok-1,49375,Python
yolov5,49320,Python
drawio-desktop,49275,JavaScript
bulma,49083,CSS
openpilot,49062,Python
prettier,48961,JavaScript
jekyll,48840,Ruby
rich,48699,Python
kotlin,48677,Kotlin
bat,48438,Rust
pi-hole,48267,Shell
ComfyUI,48169,Python
mkcert,48129,Go
DefinitelyTyped,48084,TypeScript
project-layout,48043,Makefile
moment,47935,JavaScript
RxJava,47820,Java
chinese-poetry,47718,JavaScript
pdf.js,47710,JavaScript
hacker-scripts,47447,JavaScript
Prompt-Engineering-Guide,47233,MDX
github-cheat-sheet,47218,Não especificada
ripgrep,47185,Rust
etcd,47151,Go
go-ethereum,47063,Go
awesome-ios,46787,Swift
Ghost,46662,JavaScript
Magisk,46650,C++
mastodon,46603,Ruby
cypress,46590,JavaScript
dayjs,46530,JavaScript
algorithm-visualizer,46528,JavaScript
core,46348,TypeScript
segment-anything,46342,Jupyter Notebook
serverless,46342,JavaScript
minio,46283,Go
marktext,46148,JavaScript
professional-programming,46147,Python
trackerslist,46126,Não especificada
big-list-of-naughty-strings,46102,Python
meilisearch,46055,Rust
rclone,45777,Go
zustand,45727,TypeScript
okhttp,45647,Kotlin
uBlock,45542,JavaScript
learn-regex,45477,Não especificada
awesome-rust,45458,Rust
julia,45338,Julia
awesome-wechat-weapp,45288,Não especificada
zed,45241,Rust
powerlevel10k,45202,Shell
v2ray-core,45194,Go
astro,45128,TypeScript
dive,45119,Go
Projects,44859,Não especificada
react,44828,JavaScript
joplin,44828,TypeScript
gogs,44715,Go
Motrix,44710,JavaScript
FFmpeg,44549,C
nocodb,44495,TypeScript
PowerShell,44460,C#
hackingtool,44413,Python
design-patterns-for-humans,44386,Não especificada
100-Days-Of-ML-Code,44369,Não especificada
weekly,44326,Não especificada
fuels-rs,44303,Rust
fuels-ts,44300,TypeScript
meteor,44251,JavaScript
architecture-samples,44241,Kotlin
n8n,44228,TypeScript
first-contributions,44210,Não especificada
x64dbg,44182,C++
hiring-without-whiteboards,44153,JavaScript
jest,44001,TypeScript
starship,43908,Rust
AdminLTE,43847,Astro
gitea,43825,Go
pixijs,43376,TypeScript
parcel,43354,JavaScript
TensorFlow-Examples,43338,Jupyter Notebook
MetaGPT,43254,Python
appwrite,43227,TypeScript
