Nome do Repositório,Estrelas,Pull Requests Aceitas
etcd,47151,8756
go-ethereum,47064,7432
awesome-ios,46787,2223
Ghost,46662,11156
Magisk,46650,1463
mastodon,46603,15198
cypress,46590,6213
dayjs,46530,696
algorithm-visualizer,46528,183
core,46348,2700
segment-anything,46342,16
serverless,46342,4662
minio,46283,9582
marktext,46148,939
professional-programming,46147,36
trackerslist,46126,1
big-list-of-naughty-strings,46102,90
meilisearch,46055,1727
rclone,45777,1894
zustand,45727,642
okhttp,45647,3440
uBlock,45542,240
learn-regex,45477,124
awesome-rust,45458,1392
julia,45338,23926
awesome-wechat-weapp,45288,275
zed,45241,7216
powerlevel10k,45202,158
v2ray-core,45194,203
astro,45128,6152
dive,45119,141
Projects,44859,19
react,44828,359
joplin,44828,3343
gogs,44715,1692
Motrix,44710,181
FFmpeg,44549,16
nocodb,44495,3698
PowerShell,44460,6955
hackingtool,44413,55
design-patterns-for-humans,44386,49
100-Days-Of-ML-Code,44369,6
weekly,44326,88
fuels-rs,44303,792
fuels-ts,44300,1513
meteor,44251,2236
architecture-samples,44241,224
n8n,44228,7002
first-contributions,44210,73396
x64dbg,44182,687
hiring-without-whiteboards,44154,1274
jest,44001,5548
starship,43908,2678
AdminLTE,43847,1509
gitea,43825,16084
pixijs,43376,3432
parcel,43354,2548
TensorFlow-Examples,43338,88
MetaGPT,43254,592
appwrite,43227,2976
build-web-application-with-golang,43172,757
hyper,43145,3291
babel,43132,5849
pandas,43069,25797
retrofit,42921,993
quill,42871,376
immich,42843,4371
dify,42830,3110
zx,42738,219
huginn,42638,1011
PythonDataScienceHandbook,42579,28
ImHex,42469,513
30-Days-Of-JavaScript,42366,98
CppCoreGuidelines,42333,804
type-challenges,42158,557
PaddleOCR,42050,2433
terraform,42011,11713
frontend-dev-bookmarks,42010,129
json,41992,710
open-source-ios-apps,41844,1156
awesome-react-components,41768,324
git-flight-rules,41702,223
discourse,41562,24823
grpc,41459,19439
query,41441,2226
yarn,41399,1654
react-use,41383,1519
alist,41338,652
pm2,41243,546
front-end-interview-handbook,41225,301
awesome-java,41137,680
Alamofire,40923,634
localsend,40916,485
vue2-elm,40902,21
react-hook-form,40887,1941
open-source-mac-os-apps,40868,522
Leaflet,40827,2986
