Nome do Repositório,Estrelas,Idade (anos)
faceswap,50140,6.67
awesome-android-ui,50064,9.66
ghidra,50064,5.47
tldr,50060,10.70
leetcode-master,49946,4.68
guava,49902,10.23
you-get,49803,12.00
traefik,49720,8.94
lazygit,49618,6.26
anime,49442,8.44
grok-1,49351,0.43
yolov5,49263,4.26
drawio-desktop,49218,7.24
bulma,49069,8.57
openpilot,49036,7.74
prettier,48936,7.72
jekyll,48813,15.83
kotlin,48649,12.52
rich,48645,4.78
bat,48379,6.33
pi-hole,48210,10.20
DefinitelyTyped,48043,11.87
mkcert,48023,6.15
project-layout,47959,6.95
moment,47930,13.48
RxJava,47815,11.61
chinese-poetry,47694,7.96
pdf.js,47673,13.32
ComfyUI,47582,1.59
hacker-scripts,47439,8.75
go-ethereum,47302,10.65
Prompt-Engineering-Guide,47158,1.68
github-cheat-sheet,47157,10.36
etcd,47121,11.12
ripgrep,47105,8.45
awesome-ios,46745,10.11
DeepFaceLab,46661,6.21
Ghost,46624,11.30
cypress,46576,9.47
mastodon,46567,8.49
Magisk,46535,7.95
algorithm-visualizer,46516,8.27
dayjs,46498,6.36
serverless,46336,9.33
segment-anything,46292,1.41
core,46283,6.19
minio,46159,9.60
professional-programming,46119,8.79
big-list-of-naughty-strings,46099,9.03
marktext,46064,6.77
trackerslist,46059,8.32
meilisearch,45995,6.33
rclone,45703,10.43
okhttp,45629,12.08
zustand,45587,5.37
learn-regex,45467,7.08
uBlock,45448,9.39
awesome-rust,45354,10.09
julia,45301,13.33
awesome-wechat-weapp,45253,7.91
v2ray-core,45178,8.96
powerlevel10k,45135,5.49
dive,45055,6.27
astro,45038,3.43
Projects,44829,11.13
react,44801,6.22
joplin,44765,7.59
gogs,44704,10.52
Motrix,44667,5.67
FFmpeg,44469,13.35
nocodb,44418,6.81
PowerShell,44402,8.60
100-Days-Of-ML-Code,44342,6.13
design-patterns-for-humans,44337,7.51
fuels-rs,44313,2.80
fuels-ts,44307,2.96
zed,44273,3.50
weekly,44251,5.85
architecture-samples,44230,8.54
meteor,44228,12.59
first-contributions,44149,7.92
x64dbg,44141,9.36
hiring-without-whiteboards,44045,7.43
jest,43990,10.70
hackingtool,43976,4.36
starship,43854,5.39
AdminLTE,43834,10.66
n8n,43831,5.16
gitea,43763,7.80
parcel,43343,7.04
TensorFlow-Examples,43340,8.77
pixijs,43330,11.58
appwrite,43178,5.37
build-web-application-with-golang,43165,12.05
babel,43130,9.89
hyper,43115,8.14
MetaGPT,43091,1.14
pandas,43031,13.99
retrofit,42917,13.95
quill,42806,12.06
zx,42700,3.29
huginn,42602,11.45
immich,42578,2.54
PythonDataScienceHandbook,42544,8.03
dify,42413,1.36
ImHex,42409,3.78
