Nome do Repositório,Estrelas,Idioma
Prompt-Engineering-Guide,47233,English
github-cheat-sheet,47218,English
ripgrep,47185,English
etcd,47151,English
go-ethereum,47063,English
awesome-ios,46787,English
Ghost,46662,English
Magisk,46650,README.md ausente
mastodon,46603,English
cypress,46589,English
dayjs,46530,English
algorithm-visualizer,46528,English
core,46348,English
segment-anything,46342,English
serverless,46342,English
minio,46283,English
marktext,46148,English
professional-programming,46147,English
trackerslist,46126,English
big-list-of-naughty-strings,46102,English
meilisearch,46055,English
rclone,45777,English
zustand,45727,README.md ausente
okhttp,45647,English
uBlock,45542,English
learn-regex,45477,English
awesome-rust,45458,English
julia,45338,English
awesome-wechat-weapp,45288,English
zed,45241,English
powerlevel10k,45201,English
v2ray-core,45194,English
astro,45127,English
dive,45119,English
Projects,44859,English
react,44828,English
joplin,44828,English
gogs,44715,English
Motrix,44710,English
FFmpeg,44549,English
nocodb,44495,English
PowerShell,44460,English
hackingtool,44412,English
design-patterns-for-humans,44386,README.md ausente
100-Days-Of-ML-Code,44369,English
weekly,44326,Catalan
fuels-rs,44303,English
fuels-ts,44300,English
meteor,44251,English
architecture-samples,44241,English
n8n,44228,English
first-contributions,44210,English
x64dbg,44182,English
hiring-without-whiteboards,44153,English
jest,44001,English
starship,43908,English
AdminLTE,43847,English
gitea,43825,English
pixijs,43376,English
parcel,43354,French
TensorFlow-Examples,43338,English
MetaGPT,43254,English
appwrite,43227,English
build-web-application-with-golang,43172,English
hyper,43145,English
babel,43132,English
pandas,43069,English
retrofit,42921,English
quill,42871,English
immich,42843,English
dify,42830,English
zx,42737,English
huginn,42638,English
PythonDataScienceHandbook,42578,English
ImHex,42469,English
30-Days-Of-JavaScript,42366,README.md ausente
CppCoreGuidelines,42333,English
type-challenges,42158,English
PaddleOCR,42050,English
terraform,42011,English
frontend-dev-bookmarks,42010,English
json,41992,English
open-source-ios-apps,41844,English
awesome-react-components,41768,English
git-flight-rules,41702,English
discourse,41562,English
grpc,41459,English
query,41441,English
yarn,41399,English
react-use,41383,English
alist,41338,English
pm2,41243,English
front-end-interview-handbook,41224,English
awesome-java,41137,English
Alamofire,40923,English
localsend,40916,English
vue2-elm,40902,English
react-hook-form,40887,English
open-source-mac-os-apps,40868,English
Leaflet,40827,English
jadx,40658,English
brew,40601,English
30-Days-Of-Python,40505,README.md ausente
edex-ui,40463,English
drawio,40370,English
styled-components,40353,English
Docker-OSX,40324,English
dubbo,40319,English
kubernetes-the-hard-way,40300,English
ChatGLM-6B,40296,English
nw.js,40270,English
python-patterns,40086,English
Rocket.Chat,39843,English
JeecgBoot,39827,Chinese (China)
uni-app,39825,Chinese (China)
what-happens-when,39735,README.md ausente
monaco-editor,39612,English
Fooocus,39588,README.md ausente
vuetify,39584,English
swiper,39442,English
awesome-cheatsheets,39184,English
spark,39178,English
text-generation-webui,39160,English
hexo,39085,English
Stirling-PDF,39053,English
lx-music-desktop,39009,Vietnamese
dbeaver,38992,English
fastlane,38978,English
ailearning,38963,Vietnamese
materialize,38863,English
reactjs-interview-questions,38698,English
kong,38687,English
awesome-design-patterns,38678,English
prisma,38625,English
CPlusPlusThings,38595,English
ColossalAI,38517,English
pyenv,38380,English
sentry,38373,English
black,38271,English
acme.sh,38258,English
pocketbase,38251,English
stablediffusion,38152,English
AFFiNE,38112,English
cheat.sh,38033,English
fanqiang,37938,English
Deep-Learning-Papers-Reading-Roadmap,37874,English
esbuild,37842,English
metabase,37840,English
php-src,37790,English
video.js,37730,English
bert,37714,English
tabler,37660,English
impress.js,37612,English
iina,37520,English
MPAndroidChart,37506,English
wrk,37430,English
lobe-chat,37421,English
cobra,37341,English
chakra-ui,37341,English
styleguide,37154,English
odoo,36996,English
Made-With-ML,36975,English
freecodecamp.cn,36942,English
Open-Assistant,36925,English
chinese-independent-developer,36892,English
phaser,36857,English
zju-icicles,36832,Chinese (China)
htmx,36824,English
tidb,36800,English
open-webui,36736,English
diagrams,36710,English
free,36688,English
nvm-windows,36649,English
English-level-up-tips,36542,Norwegian
interview_internal_reference,36495,Portuguese
preact,36494,English
cli,36486,English
tutorials,36429,English
gorm,36400,English
pure-bash-bible,36375,English
ClickHouse,36358,English
llm-course,36333,English
50projects50days,36269,English
ant-design-pro,36264,English
FastChat,36247,English
manifesto,36238,English
vaultwarden,36184,English
python-cheatsheet,36047,English
leveldb,36007,English
lazydocker,36006,English
airflow,35983,English
vim,35958,English
shellcheck,35952,English
JavaFamily,35871,English
nanoGPT,35861,English
mitmproxy,35704,English
DragGAN,35638,English
og-aws,35632,English
v,35625,English
lerna,35608,English
istio,35607,English
quivr,35602,English
wtfpython,35593,English
deeplearningbook-chinese,35546,Vietnamese
GFPGAN,35397,English
arthas,35280,English
taro,35265,English
curl,35209,English
fullPage.js,35117,English
hello-algorithm,35101,Vietnamese
aspnetcore,35078,English
koa,35071,README.md ausente
bark,35037,English
tldraw,34989,English
shadowsocks-android,34941,English
lottie-android,34917,English
wtfjs,34899,English
sheetjs,34881,English
devdocs,34844,English
aria2,34836,README.md ausente
bevy,34819,English
nativefier,34814,English
MockingBird,34795,English
hackathon-starter,34788,English
llama_index,34681,English
glide,34558,English
955.WLB,34548,Vietnamese
TaskMatrix,34536,English
tesseract.js,34485,English
DeepSpeed,34464,English
the-way-to-go_ZH_CN,34448,Chinese (China)
node-v0.x-archive,34448,English
awesome-react-native,34439,English
carbon,34407,English
gym,34406,English
date-fns,34365,English
photoprism,34239,English
tmux,34234,README.md ausente
streamlit,34229,English
interview,34224,English
Ryujinx,34212,English
termux-app,34191,English
insomnia,34179,English
trpc,34124,English
googletest,34116,English
lapce,34114,English
TrafficMonitor,34092,Vietnamese
novu,34027,English
caffe,34015,English
whisper.cpp,33992,English
v2rayNG,33960,English
clipboard.js,33959,README.md ausente
typeorm,33906,English
AI-For-Beginners,33832,English
formik,33831,Danish
vim-plug,33818,English
12306,33733,Vietnamese
pandoc,33724,English
google-research,33693,English
metasploit-framework,33636,English
gold-miner,33627,Vietnamese
Files,33554,README.md ausente
shadowsocks,33546,English
compose,33434,English
zig,33406,English
HanLP,33355,English
AFNetworking,33336,English
Summer2025-Internships,33281,English
brackets,33266,English
awesome-javascript,33258,English
cli,33213,English
netty,33207,English
AndroidUtilCode,33189,English
fd,33140,English
awesome-compose,33126,English
EasySpider,33095,README.md ausente
react-beautiful-dnd,33083,English
Awesome-Design-Tools,33028,English
REKCARC-TSC-UHT,32999,Vietnamese
jieba,32997,Norwegian
halo,32987,English
jellyfin,32964,English
gulp,32959,English
XX-Net,32948,Vietnamese
TTS,32948,English
immutable-js,32910,English
appsmith,32855,English
daisyui,32855,English
spring-boot-demo,32776,English
ray,32769,README.md ausente
fiber,32760,README.md ausente
marked,32656,English
zod,32634,English
LeetCode-Go,32616,English
zxing,32588,English
WeChatMsg,32576,README.md ausente
slidev,32461,English
awesome-shell,32381,English
helix,32370,English
ijkplayer,32365,English
ccxt,32308,English
ShadowsocksX-NG,32307,English
typst,32286,English
material-design-lite,32282,English
carbon-lang,32267,English
expo,32252,English
husky,32215,Não detectado
gitness,32053,English
framework,32039,English
JavaScript,31986,English
solid,31944,English
penpot,31938,English
easyexcel,31873,English
logseq,31733,English
gradio,31733,English
fastify,31723,English
sqlmap,31720,English
RSSHub,31608,English
android-open-project,31597,English
awesome-awesomeness,31574,English
GitHubDaily,31571,Vietnamese
GPT-SoVITS,31539,English
run,31413,Chinese (China)
nushell,31351,English
beego,31347,English
Coursera-ML-AndrewNg-Notes,31320,Chinese (China)
system-design,31294,English
certbot,31249,README.md ausente
pytorch-image-models,31228,English
AgentGPT,31190,English
chatgpt-web,31185,English
graphql-engine,31017,English
jQuery-File-Upload,30965,English
engineering-blogs,30961,English
poetry,30900,English
NewPipe,30881,English
swc,30850,English
Python,30847,English
Langchain-Chatchat,30833,Vietnamese
linux-command,30805,English
vault,30777,English
zsh-autosuggestions,30770,English
awesome-php,30768,English
clash-verge-rev,30719,English
cal.com,30712,English
openpose,30678,English
OpenHands,30655,English
Blog,30641,Catalan
MS-DOS,30581,English
rxjs,30554,English
modern-unix,30537,English
leetcode,30504,English
vimrc,30501,English
yew,30441,English
spacedrive,30345,English
p3c,30338,English
ruff,30322,English
learnGitBranching,30319,English
How-To-Ask-Questions-The-Smart-Way,30311,Chinese (Taiwan)
libpku,30306,Chinese (China)
html2canvas,30302,English
NeteaseCloudMusicApi,30271,README.md ausente
serenity,30253,English
portainer,30191,English
nps,30152,English
spring-boot-examples,30150,English
faiss,30144,English
lottie-web,30139,English
swr,30138,English
dotfiles,30108,English
selenium,30064,English
AnotherRedisDesktopManager,30063,English
fairseq,30052,English
HEAD,29973,English
jq,29965,English
autogen,29949,English
C-Plus-Plus,29911,English
nacos,29873,English
detectron2,29811,English
vue-cli,29757,English
linux-insides,29742,English
cockroach,29740,English
pytorch-tutorial,29726,English
jsoncrack.com,29701,English
HowToLiveLonger,29682,English
memos,29651,English
foundation-sites,29651,English
ChatTTS,29644,English
awesome-docker,29624,English
jax,29615,English
symfony,29572,English
spaCy,29545,English
slate,29522,README.md ausente
ControlNet,29520,English
floating-ui,29514,English
LLaMA-Factory,29491,English
my-tv,29456,Vietnamese
react-boilerplate,29445,English
phantomjs,29442,English
calculator,29440,English
chatgpt-on-wechat,29419,English
layui,29414,English
lede,29413,English
gpt-pilot,29396,English
sequelize,29385,English
